input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,final_url,tls_expired,tls_self_signed,tls_subject_org_,csp_domains_,cdn_name,cdn
155-9-243-45.z2.amocrm.com,"Boost sales with messaging apps
        
                  — Kommo (formerly amoCRM)",200,500346,www.kommo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-09-30T13:10:45Z,2023-11-01T13:10:45Z,CN=*.kommo.com,*.kommo.com,kommo.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",9cb1d80dc642da312296fa1168834c10,97a9e8b0af7bc8edac7cec50cb285d2cb70aa25e97ceb9e3851735c1cc99b0d1,True,ctls,www.kommo.com,443,https://155-9-243-45.z2.amocrm.com:443,https,nginx,text/html,GET,142.0.201.228,/,920845104,142.0.201.228,9922,False,Nginx,https://www.kommo.com/,,,,https://*.kommo.com,,
155-9-55-64.z1.amocrm.ru,Онлайн CRM система. Управление клиентами в современной облачной CRM — amoCRM,200,50199,www.amocrm.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,www.amocrm.ru,443,https://155-9-55-64.z1.amocrm.ru:443,https,nginx,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,827,False,Nginx,https://www.amocrm.ru,,,,,,
155-9-56-96.z2.amocrm.ru,Онлайн CRM система. Управление клиентами в современной облачной CRM — amoCRM,200,50199,www.amocrm.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,www.amocrm.ru,443,https://155-9-56-96.z2.amocrm.ru:443,https,nginx,text/html,GET,95.213.161.42,/,920845104,95.213.201.60,827,False,Nginx,https://www.amocrm.ru,,,,,,
155-9-57-57.z1.amocrm.ru,,503,475,155-9-57-57.z1.amocrm.ru,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,155-9-57-57.z1.amocrm.ru,443,https://155-9-57-57.z1.amocrm.ru:443,https,QRATOR,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,11,False,,,,,,,,
155-9-60-2.z1.amocrm.ru,,503,475,155-9-60-2.z1.amocrm.ru,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,155-9-60-2.z1.amocrm.ru,443,https://155-9-60-2.z1.amocrm.ru:443,https,QRATOR,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,11,False,,,,,,,,
155-9-60-34.z1.amocrm.ru,HTTP 503,503,1209,155-9-60-34.z1.amocrm.ru,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,155-9-60-34.z1.amocrm.ru,443,https://155-9-60-34.z1.amocrm.ru:443,https,QRATOR,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,38,False,,,,,,,,
155-9-64-69.z1.amocrm.ru,Онлайн CRM система. Управление клиентами в современной облачной CRM — amoCRM,200,50199,www.amocrm.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,www.amocrm.ru,443,https://155-9-64-69.z1.amocrm.ru:443,https,nginx,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,827,False,Nginx,https://www.amocrm.ru,,,,,,
155-9-73-86.z1.amocrm.ru,Онлайн CRM система. Управление клиентами в современной облачной CRM — amoCRM,200,50199,www.amocrm.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,www.amocrm.ru,443,https://155-9-73-86.z1.amocrm.ru:443,https,nginx,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,827,False,Nginx,https://www.amocrm.ru,,,,,,
155-9-77-37.z2.amocrm.com,"Boost sales with messaging apps
        
                  — Kommo (formerly amoCRM)",200,500348,www.kommo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-09-30T13:10:45Z,2023-11-01T13:10:45Z,CN=*.kommo.com,*.kommo.com,kommo.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",9cb1d80dc642da312296fa1168834c10,97a9e8b0af7bc8edac7cec50cb285d2cb70aa25e97ceb9e3851735c1cc99b0d1,True,ctls,www.kommo.com,443,https://155-9-77-37.z2.amocrm.com:443,https,nginx,text/html,GET,142.0.201.228,/,920845104,142.0.201.228,9922,False,Nginx,https://www.kommo.com/,,,,https://*.amocrm.ru,,
158-7-251-44.z2.amocrm.com,"Boost sales with messaging apps
        
                  — Kommo (formerly amoCRM)",200,500348,www.kommo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-09-30T13:10:45Z,2023-11-01T13:10:45Z,CN=*.kommo.com,*.kommo.com,kommo.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",9cb1d80dc642da312296fa1168834c10,97a9e8b0af7bc8edac7cec50cb285d2cb70aa25e97ceb9e3851735c1cc99b0d1,True,ctls,www.kommo.com,443,https://158-7-251-44.z2.amocrm.com:443,https,nginx,text/html,GET,142.0.201.228,/,920845104,142.0.201.228,9922,False,Nginx,https://www.kommo.com/,,,,https://*.kommo.com,,
158-7-251-65.z2.amocrm.ru,Онлайн CRM система. Управление клиентами в современной облачной CRM — amoCRM,200,50199,www.amocrm.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,www.amocrm.ru,443,https://158-7-251-65.z2.amocrm.ru:443,https,nginx,text/html,GET,95.213.201.60,/,920845104,95.213.161.42,827,False,Nginx,https://www.amocrm.ru,,,,,,
165-137-111-97.z2.amocrm.com,"Boost sales with messaging apps
        
                  — Kommo (formerly amoCRM)",200,500348,www.kommo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-09-30T13:10:45Z,2023-11-01T13:10:45Z,CN=*.kommo.com,*.kommo.com,kommo.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",9cb1d80dc642da312296fa1168834c10,97a9e8b0af7bc8edac7cec50cb285d2cb70aa25e97ceb9e3851735c1cc99b0d1,True,ctls,www.kommo.com,443,https://165-137-111-97.z2.amocrm.com:443,https,nginx,text/html,GET,142.0.201.228,/,920845104,142.0.201.228,9922,False,Nginx,https://www.kommo.com/,,,,https://*.amocrm.ru,,
17-121-112-14.z1.amocrm.ru,,503,475,17-121-112-14.z1.amocrm.ru,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,17-121-112-14.z1.amocrm.ru,443,https://17-121-112-14.z1.amocrm.ru:443,https,QRATOR,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,11,False,,,,,,,,
17-121-112-33.z1.amocrm.ru,,503,475,17-121-112-33.z1.amocrm.ru,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,17-121-112-33.z1.amocrm.ru,443,https://17-121-112-33.z1.amocrm.ru:443,https,QRATOR,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,11,False,,,,,,,,
17-121-112-43.z1.amocrm.ru,Онлайн CRM система. Управление клиентами в современной облачной CRM — amoCRM,200,50199,www.amocrm.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,www.amocrm.ru,443,https://17-121-112-43.z1.amocrm.ru:443,https,nginx,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,827,False,Nginx,https://www.amocrm.ru,,,,,,
17-121-112-46.z1.amocrm.ru,HTTP 503,503,1211,17-121-112-46.z1.amocrm.ru,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,17-121-112-46.z1.amocrm.ru,443,https://17-121-112-46.z1.amocrm.ru:443,https,QRATOR,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,38,False,,,,,,,,
17-121-112-6.z1.amocrm.ru,Онлайн CRM система. Управление клиентами в современной облачной CRM — amoCRM,200,50199,www.amocrm.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,www.amocrm.ru,443,https://17-121-112-6.z1.amocrm.ru:443,https,nginx,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,827,False,Nginx,https://www.amocrm.ru,,,,,,
17-121-112-6.z2.amocrm.com,"Boost sales with messaging apps
        
                  — Kommo (formerly amoCRM)",200,500344,www.kommo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-09-30T13:10:45Z,2023-11-01T13:10:45Z,CN=*.kommo.com,*.kommo.com,kommo.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",9cb1d80dc642da312296fa1168834c10,97a9e8b0af7bc8edac7cec50cb285d2cb70aa25e97ceb9e3851735c1cc99b0d1,True,ctls,www.kommo.com,443,https://17-121-112-6.z2.amocrm.com:443,https,nginx,text/html,GET,142.0.201.228,/,920845104,142.0.201.228,9922,False,Nginx,https://www.kommo.com/,,,,https://*.amocrm.ru,,
17-121-112-60.z1.amocrm.ru,Онлайн CRM система. Управление клиентами в современной облачной CRM — amoCRM,200,50199,www.amocrm.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,www.amocrm.ru,443,https://17-121-112-60.z1.amocrm.ru:443,https,nginx,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,827,False,Nginx,https://www.amocrm.ru,,,,,,
17-121-112-69.z1.amocrm.ru,HTTP 503,503,1211,17-121-112-69.z1.amocrm.ru,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,17-121-112-69.z1.amocrm.ru,443,https://17-121-112-69.z1.amocrm.ru:443,https,QRATOR,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,38,False,,,,,,,,
17-121-112-73.z1.amocrm.ru,Онлайн CRM система. Управление клиентами в современной облачной CRM — amoCRM,200,50199,www.amocrm.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,www.amocrm.ru,443,https://17-121-112-73.z1.amocrm.ru:443,https,nginx,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,827,False,Nginx,https://www.amocrm.ru,,,,,,
17-121-112-81.z1.amocrm.ru,Онлайн CRM система. Управление клиентами в современной облачной CRM — amoCRM,200,50199,www.amocrm.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,www.amocrm.ru,443,https://17-121-112-81.z1.amocrm.ru:443,https,nginx,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,827,False,Nginx,https://www.amocrm.ru,,,,,,
17-121-112-9.venta.amocrm.ru,amoCRM: Авторизация,401,5105,venta.amocrm.ru,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,venta.amocrm.ru,443,https://17-121-112-9.venta.amocrm.ru:443,https,nginx,text/html,GET,88.212.249.37,/,920845104,88.212.250.100,110,False,Nginx,https://venta.amocrm.ru/,,,,,,
17-121-112-9.z1.amocrm.ru,HTTP 503,503,1210,17-121-112-9.z1.amocrm.ru,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,17-121-112-9.z1.amocrm.ru,443,https://17-121-112-9.z1.amocrm.ru:443,https,QRATOR,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,38,False,,,,,,,,
17-121-113-10.z1.amocrm.ru,HTTP 503,503,1211,17-121-113-10.z1.amocrm.ru,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,17-121-113-10.z1.amocrm.ru,443,https://17-121-113-10.z1.amocrm.ru:443,https,QRATOR,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,38,False,,,,,,,,
17-121-114-36.z1.amocrm.ru,HTTP 503,503,1211,17-121-114-36.z1.amocrm.ru,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,17-121-114-36.z1.amocrm.ru,443,https://17-121-114-36.z1.amocrm.ru:443,https,QRATOR,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,38,False,,,,,,,,
17-121-114-40.z2.amocrm.com,"Boost sales with messaging apps
        
                  — Kommo (formerly amoCRM)",200,500347,www.kommo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-09-30T13:10:45Z,2023-11-01T13:10:45Z,CN=*.kommo.com,*.kommo.com,kommo.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",9cb1d80dc642da312296fa1168834c10,97a9e8b0af7bc8edac7cec50cb285d2cb70aa25e97ceb9e3851735c1cc99b0d1,True,ctls,www.kommo.com,443,https://17-121-114-40.z2.amocrm.com:443,https,nginx,text/html,GET,142.0.201.228,/,920845104,142.0.201.228,9922,False,Nginx,https://www.kommo.com/,,,,https://*.amocrm.com,,
17-121-114-59.z1.amocrm.ru,HTTP 503,503,1211,17-121-114-59.z1.amocrm.ru,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,17-121-114-59.z1.amocrm.ru,443,https://17-121-114-59.z1.amocrm.ru:443,https,QRATOR,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,38,False,,,,,,,,
17-121-115-22.z1.amocrm.ru,HTTP 503,503,1211,17-121-115-22.z1.amocrm.ru,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,17-121-115-22.z1.amocrm.ru,443,https://17-121-115-22.z1.amocrm.ru:443,https,QRATOR,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,38,False,,,,,,,,
17-121-115-9.z1.amocrm.ru,HTTP 503,503,1210,17-121-115-9.z1.amocrm.ru,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,17-121-115-9.z1.amocrm.ru,443,https://17-121-115-9.z1.amocrm.ru:443,https,QRATOR,text/html,GET,178.248.235.194,/,920845104,178.248.235.194,38,False,,,,,,,,
